datum,imputerad,lower_95,upper_95
2007-09-01,3.2820930149671983,2.448476827716187,4.115709202218209
2007-11-01,3.282093014796646,2.4484768276094497,4.115709201983842
2007-12-01,3.282093014735024,2.448476827578406,4.115709201891642
2008-01-01,3.2820930146734026,2.448476827547363,4.115709201799442
2008-02-01,3.282093014611781,2.4484768275163193,4.115709201707243
2008-03-01,3.2820930145501594,2.448476827485276,4.115709201615043
2008-04-01,3.2820930144885376,2.4484768274542326,4.115709201522843
2008-06-01,3.2820930143164673,2.4484768273406594,4.115709201292275
2008-07-01,3.2820930142060183,2.4484768272581294,4.115709201153907
2008-08-01,3.2820930140955697,2.4484768271756003,4.115709201015539
2008-09-01,3.2820930139851208,2.4484768270930704,4.115709200877172
2008-10-01,3.282093013874672,2.4484768270105404,4.115709200738803
2008-11-01,3.282093013764223,2.448476826928011,4.115709200600435
2008-12-01,3.282093013653774,2.448476826845481,4.115709200462067
2009-01-01,3.282093013543325,2.448476826762951,4.115709200323699
2009-02-01,3.282093013432876,2.4484768266804213,4.11570920018533
2009-03-01,3.282093013322427,2.4484768265978913,4.115709200046963
2009-04-01,3.2820930132119783,2.4484768265153622,4.115709199908594
2009-05-01,3.2820930131015293,2.4484768264328323,4.115709199770226
2009-06-01,3.2820930129910804,2.4484768263503023,4.115709199631858
2009-07-01,3.2820930128806314,2.4484768262677727,4.11570919949349
2009-08-01,3.2820930127701824,2.4484768261852428,4.115709199355122
2009-09-01,3.2820930126597334,2.4484768261027128,4.115709199216754
2009-10-01,3.2820930125492844,2.4484768260201832,4.115709199078386
2009-11-01,3.2820930124388354,2.4484768259376533,4.115709198940017
2010-01-01,3.282093012157883,2.4484768257098803,4.115709198605885
2010-02-01,3.2820930119873792,2.448476825564637,4.115709198410122
2010-03-01,3.282093011816875,2.4484768254193927,4.115709198214358
2010-04-01,3.282093011646371,2.448476825274149,4.115709198018593
2010-05-01,3.282093011475867,2.448476825128905,4.115709197822829
2010-06-01,3.2820930113053635,2.4484768249836617,4.115709197627066
2010-07-01,3.2820930111348594,2.448476824838418,4.1157091974313005
2010-08-01,3.2820930109643554,2.448476824693174,4.115709197235537
2010-10-01,3.2820930106573245,2.448476824434005,4.115709196880644
2010-12-01,3.282093010418247,2.4484768242374706,4.115709196599023
2011-01-01,3.2820930103156964,2.4484768241548625,4.115709196476531
2011-02-01,3.282093010213146,2.4484768240722543,4.115709196354038
2011-03-01,3.2820930101105956,2.448476823989646,4.1157091962315455
2011-04-01,3.282093010008045,2.448476823907038,4.115709196109052
2011-05-01,3.282093009905495,2.44847682382443,4.115709195986559
2011-06-01,3.2820930098029444,2.4484768237418217,4.115709195864067
2011-07-01,3.282093009700394,2.4484768236592136,4.115709195741575
2011-08-01,3.2820930095978436,2.4484768235766055,4.115709195619082
2011-09-01,3.282093009495293,2.4484768234939973,4.115709195496589
2011-10-01,3.2820930093927427,2.448476823411389,4.115709195374096
2011-11-01,3.2820930092901923,2.448476823328781,4.115709195251604
2011-12-01,3.282093009187642,2.448476823246173,4.115709195129111
2012-01-01,3.2820930090850915,2.4484768231635647,4.115709195006619
2012-02-01,3.282093008982541,2.4484768230809566,4.115709194884126
2012-03-01,3.2820930088799907,2.4484768229983485,4.115709194761633
2012-04-01,3.2820930087774403,2.4484768229157403,4.11570919463914
2012-05-01,3.2820930086748903,2.4484768228331326,4.115709194516648
2012-08-01,3.2820930085491664,2.4484768227592584,4.1157091943390745
2012-09-01,3.2820930085664974,2.4484768227912137,4.115709194341781
2012-10-01,3.2820930085838285,2.448476822823169,4.115709194344488
2012-11-01,3.28209300860116,2.4484768228551252,4.115709194347195
